,alloy_name,phases,phase_code,R_delta,S_config,VEC,R_cov_delta,density_avg,E_delta,G_delta,B_delta,EN_Allen_avg,Vm_delta,E_coh_avg,E_coh_delta,H_ch_M_L_R,H_el_M_S_R
267,Al0.2CuMnNiZn0.8,FCC+Im,4,0.224670026,0.516872816,0.879432624,0.082558322,0.457168408,0.449699455,0.209876958,0.516960603,0.737400053,0.223117743,0.169581077,0.738103014,0.713937622,0.092902267
268,Al0.375CuMnNiZn0.375,FCC+Im,4,0.228139269,0.521470515,0.796690307,0.08627902,0.442232263,0.443958658,0.212671282,0.492336829,0.757409382,0.232901732,0.207663682,0.568380557,0.689327485,0.092530658
269,Al0.429CuMnNiZn0.857,FCC+Im,4,0.236500277,0.558804036,0.834413876,0.076470492,0.430358146,0.49054654,0.229539208,0.522432868,0.720494753,0.247414568,0.167591694,0.731039843,0.669590643,0.111111111
270,Al0.5B0.2CoCrCuFeNi,FCC+Im,4,0.389799507,0.76085285,0.672016922,0.277019269,0.437470996,0.362153879,0.307491732,0.200798875,0.779675401,0.22611851,0.343040923,0.245663101,0.764132554,0.112969156
271,Al0.5B0.4CoCrCuFeNi,FCC+Im,4,0.506773301,0.787674464,0.647553793,0.393381058,0.420552942,0.354800408,0.345360821,0.196235561,0.793120505,0.251849186,0.353095792,0.284585491,0.710769981,0.152731327
272,Al0.5B0.6CoCrCuFeNi,FCC+Im,4,0.594255451,0.801435185,0.624694803,0.48005587,0.404744268,0.347830508,0.368239093,0.191901769,0.805683963,0.273502833,0.362491325,0.312966805,0.664717349,0.186919361
273,Al0.5BCoCrCuFeNi,FCC+Im,4,0.72262403,0.808318946,0.583196945,0.606461674,0.376045446,0.334916218,0.390838937,0.183850659,0.828491471,0.308048453,0.379547831,0.350945376,0.589668616,0.242660721
274,Al0.5CoCrFeMo0.5Ni,FCC+Im,4,0.233412312,0.683594783,0.588652482,0.272521006,0.456697731,0.43722741,0.203857741,0.242684105,0.69608209,0.252933598,0.40143694,0.400123295,0.65960039,0.165737644
275,Al0.75CuMnNi,FCC+Im,4,0.245441477,0.423814117,0.669030733,0.082383231,0.400530296,0.48102266,0.235603752,0.474313484,0.760527719,0.269192192,0.24374194,0.332844536,0.611598441,0.112597547
276,Al8Cu0.5Li0.5Mg0.5Zn0.5,FCC+Im,4,0.182576828,0,0.04964539,0.052118593,0.007860303,0.377087478,0.177151989,0.295720209,0.427905117,0.197656891,0.162330054,0.470605769,0.818957115,0.051282051
277,Al8Li0.5Mg0.5Sn0.5Zn0.5,FCC+Im,4,0.188475894,0,0,0.10594365,0,0.2899019,0.151999866,0.253507513,0.425566365,0.264561828,0.159235106,0.469353787,0.860136452,0.081010777
278,AlCuMnNi,FCC+Im,4,0.256505253,0.428746695,0.624113475,0.075819801,0.373764473,0.52220971,0.254937144,0.481177668,0.743636727,0.288199597,0.241737593,0.323423325,0.568469786,0.131178001
279,AlLi0.5MgSn0.2Zn0.5,FCC+Im,4,0.277330822,0.495002855,0.070035461,0.234088381,0.004283159,0.620990712,0.321905704,0.552849345,0.179412647,0.322198494,0,0.914759464,0.779727096,0.141583055
280,CoCrCuFeNiTi,FCC+Im,4,0.298896779,0.714373348,0.659574468,0.362858431,0.443738429,0.353844261,0.237033548,0.183434747,0.682569296,0.309752343,0.36524078,0.188348188,0.676169591,0.191750279
281,CoCrCuFeNiTi0.8,FCC+Im,4,0.277329276,0.712173283,0.679139154,0.336345957,0.45412037,0.340138479,0.229642699,0.171614901,0.701566061,0.287675457,0.361632547,0.184969755,0.716617934,0.164622817
