,alloy_name,phases,phase_code,R_delta,S_config,VEC,R_cov_delta,density_avg,E_delta,G_delta,B_delta,EN_Allen_avg,Vm_delta,E_coh_avg,E_coh_delta,H_ch_M_L_R,H_el_M_S_R
37,AlCoCrFeNiSi0.2,BCC,2,0.294718515,0.65717309,0.528641571,0.106801524,0.36884047,0.4533735,0.266758692,0.288863101,0.727745203,0.276568983,0.344245011,0.181782117,0.530214425,0.137495355
38,AlCoCrFeNiSi0.4,BCC,2,0.305939655,0.68796584,0.512477016,0.114972234,0.352862935,0.459049481,0.273733015,0.298049907,0.736851457,0.272692675,0.347457107,0.182967218,0.498781676,0.136752137
39,AlCoCrFeNiSi0.6,BCC,2,0.315116782,0.704326909,0.497467072,0.121602596,0.338026654,0.463832075,0.279907742,0.306036312,0.745307265,0.268829461,0.350439767,0.183625653,0.472465887,0.136008919
40,AlCoCrFeNiTi,BCC,2,0.356097336,0.714373348,0.470449173,0.356064183,0.345523863,0.49107456,0.29126982,0.307666772,0.620202559,0.350408647,0.36229321,0.20646953,0.351851852,0.259383129
41,AlCoCrFeNiTi0.5,BCC,2,0.329858304,0.697468151,0.50483559,0.276578863,0.363965837,0.472669885,0.277471976,0.295712296,0.664615236,0.328345968,0.352512636,0.197607349,0.436890838,0.211445559
42,AlCoFeNi,BCC,2,0.304893399,0.428746695,0.588652482,0.028765922,0.384825379,0.472004259,0.229717033,0.315810027,0.759228412,0.314747459,0.341660219,0.204966359,0.535331384,0.169082126
43,AlCrFeNi,BCC,2,0.304893399,0.428746695,0.482269504,0.089093176,0.34458251,0.506875169,0.293749577,0.314772667,0.68516791,0.29021395,0.328838289,0.193658031,0.544834308,0.153102936
44,AlCrFeNiMo0.2,BCC,2,0.301678597,0.517104901,0.477203647,0.179193521,0.360473456,0.556360894,0.289636343,0.340483726,0.66549269,0.290744989,0.352145147,0.356015372,0.559697856,0.177629134
45,AlCrFeNiMo0.5,BCC,2,0.296555587,0.565971567,0.470449173,0.256000667,0.381661385,0.592942535,0.282711361,0.361061919,0.639259062,0.289489858,0.383220957,0.468163688,0.579678363,0.205128205
46,AlCrMoNbTi,BCC,2,0.268061659,0.585938385,0.205673759,0.371395945,0.341852584,0.872511736,0.422127915,0.603873605,0.325,0.210600233,0.557599204,0.655959941,0.54337232,0.16722408
47,AlHfNbTaTiZr,BCC,2,0.239097975,0.714373348,0.115839243,0.406547292,0.533951489,0.494850308,0.213008788,0.439666162,0.116071429,0.207137034,0.690947275,0.56878862,0.519736842,0.117800074
48,AlMoNbTiV,BCC,2,0.17604482,0.585938385,0.177304965,0.30789935,0.32020145,0.899922659,0.423438522,0.607553729,0.287579957,0.12031915,0.600397922,0.576293392,0.562378168,0.052025269
49,AlMoTaTiV,BCC,2,0.17604482,0.585938385,0.177304965,0.326805378,0.467617434,0.789488217,0.368197967,0.463238085,0.265751599,0.120744764,0.619144468,0.625857681,0.559454191,0.066889632
50,AlNbTaTiV,BCC,2,0.161659288,0.585938385,0.14893617,0.362683615,0.436929304,0.436378169,0.21308088,0.445322461,0.247041578,0.123828193,0.645672599,0.659036762,0.545808967,0.059085842
51,AlNbTiV,BCC,2,0.180691093,0.428746695,0.127659574,0.358787726,0.230678716,0.251731127,0.115580427,0.375290951,0.291477878,0.133743093,0.545926827,0.622382369,0.477339181,0.054998142
52,CrMoNbTaVW,BCC,2,0.224052314,0.714373348,0.304964539,0.240116475,0.779017227,0.72597275,0.321449959,0.415832538,0.284981343,0.216172683,0.814745219,0.524092598,0.755116959,0.208101078
53,Hf0.4Nb1.54Ta1.54Ti0.89Zr0.63,BCC,2,0.210794289,0.505832606,0.179574468,0.057796904,0.695148263,0.445042099,0.195442431,0.479080409,0.087632196,0.159237342,0.848764894,0.355157323,0.932017544,0.080267559
54,Hf0.5Mo0.5NbTiZr,BCC,2,0.282525035,0.550817192,0.163120567,0.144507885,0.455897581,0.88355574,0.370283952,0.606325608,0.094632862,0.234430642,0.730739472,0.324182313,0.8667154,0.179858789
55,Hf0.5Nb0.5Ta0.5Ti1.5Zr,BCC,2,0.231947425,0.504742446,0.127659574,0.132877113,0.481078791,0.440784858,0.165585683,0.356440973,0.063449494,0.202269754,0.698905715,0.406233078,0.916910331,0.120772947
56,Hf0.75NbTa0.5Ti1.5Zr1.25,BCC,2,0.238329781,0.540178966,0.134751773,0.119787655,0.50244752,0.420182384,0.157598178,0.354931099,0.059941365,0.199972199,0.727644523,0.379997457,0.928118908,0.11965812
57,HfMo0.25NbTaTiZr,BCC,2,0.258441382,0.666811272,0.15974333,0.107006563,0.647810456,0.632825845,0.263562883,0.494570049,0.052219769,0.204465355,0.788301305,0.348960227,0.910087719,0.145299145
58,HfMo0.5NbTaTiZr,BCC,2,0.270370519,0.697468151,0.169568021,0.119077788,0.649195998,0.718354878,0.304134877,0.5322302,0.062209246,0.215042418,0.789664077,0.339889314,0.887426901,0.165737644
59,HfMo0.5NbTiV0.5,BCC,2,0.294371371,0.550817192,0.180851064,0.155663494,0.529558505,0.702609024,0.322280707,0.531474564,0.104377665,0.247590404,0.71415939,0.351661725,0.854775828,0.204756596
60,HfMo0.75NbTaTiZr,BCC,2,0.279653801,0.710825872,0.17853839,0.128436397,0.650461059,0.76208403,0.326210508,0.552010322,0.071330073,0.223532336,0.790908348,0.331431714,0.868421053,0.182088443
61,HfMoNbTaTiZr,BCC,2,0.286916287,0.714373348,0.186761229,0.135750128,0.651620697,0.784131474,0.338429215,0.561565594,0.079690832,0.23038211,0.79204893,0.32352129,0.852582846,0.195466369
62,HfMoNbTaTiZr,BCC,2,0.286916287,0.714373348,0.186761229,0.135750128,0.651620697,0.784131474,0.338429215,0.561565594,0.079690832,0.23038211,0.79204893,0.32352129,0.852582846,0.195466369
63,HfMoNbTiZr,BCC,2,0.303957144,0.585938385,0.177304965,0.159718756,0.529558505,0.88886142,0.382603951,0.631734876,0.081769723,0.248865874,0.741527578,0.287675007,0.835282651,0.224823486
64,HfMoTaTiZr,BCC,2,0.303957144,0.585938385,0.177304965,0.161362417,0.676974489,0.777889738,0.326506422,0.498612885,0.059941365,0.24864429,0.760274124,0.336935822,0.827241715,0.242289112
65,HfMoTaTiZr,BCC,2,0.303957144,0.585938385,0.177304965,0.161362417,0.676974489,0.777889738,0.326506422,0.498612885,0.059941365,0.24864429,0.760274124,0.336935822,0.827241715,0.242289112
66,HfNbTaTiVZr,BCC,2,0.323341164,0.714373348,0.163120567,0.15533715,0.585725941,0.399830299,0.161136228,0.38774881,0.095282516,0.279987003,0.747540621,0.377631944,0.892300195,0.232255667
67,HfNbTaTiZr,BCC,2,0.242942404,0.585938385,0.14893617,0.091206058,0.64628636,0.446045873,0.179062882,0.421950094,0.041231343,0.19116682,0.786802255,0.358722352,0.937378168,0.11965812
68,HfNbTaTiZr,BCC,2,0.242942404,0.585938385,0.14893617,0.091206058,0.64628636,0.446045873,0.179062882,0.421950094,0.041231343,0.19116682,0.786802255,0.358722352,0.937378168,0.11965812
69,HfNbTaTiZr,BCC,2,0.242942404,0.585938385,0.14893617,0.091206058,0.64628636,0.446045873,0.179062882,0.421950094,0.041231343,0.19116682,0.786802255,0.358722352,0.937378168,0.11965812
70,HfNbTaZr,BCC,2,0.261207584,0.428746695,0.163120567,0,0.772192413,0.471798121,0.185920885,0.46694557,0.018623401,0.182998815,0.866032939,0.216398675,0.953460039,0.123745819
71,HfTa0.6TiZr,BCC,2,0.226858304,0.414500827,0.115839243,0.12638859,0.611613166,0.46771663,0.170128639,0.344142778,0,0.191395176,0.712562789,0.359087966,0.902290448,0.131921219
72,HfTaTiZr,BCC,2,0.236630024,0.428746695,0.127659574,0.113264383,0.676645016,0.476750296,0.17851791,0.372777298,0.006929638,0.193660113,0.745772079,0.38097679,0.91374269,0.1352657
73,Mo0.1NbTiV0.3Zr,BCC,2,0.295149344,0.436803438,0.154776804,0.143880603,0.338851327,0.595676239,0.226617778,0.422619461,0.142669008,0.259403098,0.701610544,0.370828826,0.89254386,0.175027871
74,Mo0.3NbTiV0.3Zr,BCC,2,0.302316823,0.495881158,0.167060678,0.147594693,0.357709164,0.831554698,0.340936095,0.556015988,0.149853412,0.264377475,0.708092308,0.361088183,0.867446394,0.188034188
75,Mo0.3NbTiVZr,BCC,2,0.341972675,0.538864198,0.177964704,0.165186709,0.345534809,0.744873405,0.307297179,0.49999513,0.184964918,0.311740417,0.682556983,0.356585118,0.846003899,0.235971758
76,Mo0.5NbTiV0.3Zr,BCC,2,0.307282515,0.523818728,0.178051512,0.149874126,0.374581965,0.91738946,0.386081417,0.61186432,0.156281562,0.26782304,0.713891782,0.351947816,0.847465887,0.196952806
77,Mo0.5NbTiVZr,BCC,2,0.340672212,0.565971567,0.186761229,0.16374249,0.360324035,0.837737143,0.354698189,0.543596784,0.188832623,0.30971473,0.688589219,0.35034735,0.833820663,0.236714976
78,Mo0.7NbTiV0.3Zr,BCC,2,0.310611108,0.536326313,0.187943262,0.151089936,0.389767486,0.94961408,0.40601878,0.636039027,0.162066898,0.270094756,0.719111308,0.343360296,0.831384016,0.203641769
79,Mo0.7NbTiVZr,BCC,2,0.338985895,0.579771979,0.194809114,0.162021485,0.373854603,0.882058156,0.379181028,0.566730858,0.192371161,0.307447287,0.694108074,0.344279957,0.823586745,0.236714976
80,Mo1.3NbTiV0.3Zr,BCC,2,0.314245852,0.530281785,0.212457601,0.150664041,0.427401168,0.94162509,0.41333321,0.639685096,0.176404468,0.272173153,0.732046655,0.320477582,0.799220273,0.212188777
81,Mo1.3NbTiVZr,BCC,2,0.332445354,0.581652144,0.215308444,0.155832657,0.408319257,0.906874523,0.399713014,0.583075234,0.201384419,0.29973964,0.708165534,0.3272091,0.802387914,0.231884058
82,Mo1.5NbTiV0.3Zr,BCC,2,0.314076344,0.520931392,0.219267139,0.149656057,0.437854969,0.927100066,0.409167975,0.632112818,0.180387127,0.271799115,0.735639807,0.313680955,0.792397661,0.212560386
83,Mo1.5NbTiVZr,BCC,2,0.329961694,0.575180701,0.221147647,0.153571408,0.418136462,0.900576154,0.399004662,0.580431129,0.203951832,0.296995621,0.71216978,0.321902743,0.79751462,0.229654404
84,Mo1.7NbTiVZr,BCC,2,0.327391886,0.566756932,0.226577081,0.151259925,0.42726474,0.891372195,0.396642944,0.575940515,0.206339075,0.294208625,0.715893026,0.316783455,0.793615984,0.226681531
85,Mo2NbTiVZr,BCC,2,0.323433511,0.551612685,0.234042553,0.147741023,0.439816122,0.874526257,0.391220709,0.567088211,0.209621535,0.28998721,0.72101249,0.309442766,0.788986355,0.222593831
86,MoNbTaTi0.25W,BCC,2,0.112850542,0.528898165,0.292448894,0.053245591,0.949568362,0.678888898,0.342607965,0.489283117,0.194029851,0.068625694,0.968816442,0.272313828,0.721734893,0.04384987
87,MoNbTaTi0.5W,BCC,2,0.118491605,0.565971567,0.281323877,0.052245784,0.904740239,0.710976205,0.357116326,0.506979551,0.190565032,0.066016905,0.941097724,0.329066482,0.730750487,0.041620216
88,MoNbTaTi0.75W,BCC,2,0.122411784,0.581803445,0.271369914,0.050947157,0.864630866,0.738634626,0.36957065,0.521880142,0.187464931,0.063514695,0.916296766,0.371498447,0.738791423,0.03976217
89,MoNbTaTiV,BCC,2,0.17604482,0.585938385,0.234042553,0.088185593,0.578132354,0.703380882,0.32942451,0.468041318,0.203384861,0.135228912,0.766994584,0.411411916,0.816520468,0.079152731
90,MoNbTaTiVW,BCC,2,0.164666153,0.714373348,0.257683215,0.069125103,0.737597665,0.791793083,0.39535144,0.503326729,0.214818763,0.122347762,0.836851995,0.44949333,0.772660819,0.073578595
91,MoNbTaTiW,BCC,2,0.125115267,0.585938385,0.262411348,0.049442479,0.82853243,0.762636043,0.380323625,0.53447719,0.18467484,0.06112014,0.893975904,0.404705069,0.746101365,0.037904125
92,MoNbTaTiW,BCC,2,0.125115267,0.585938385,0.262411348,0.049442479,0.82853243,0.762636043,0.380323625,0.53447719,0.18467484,0.06112014,0.893975904,0.404705069,0.746101365,0.037904125
93,MoNbTaTiZr,BCC,2,0.267362397,0.585938385,0.205673759,0.122990382,0.587922432,0.841088154,0.365117301,0.579700521,0.137899787,0.219502808,0.800243175,0.353103722,0.832846004,0.15533259
94,MoNbTaTiZr,BCC,2,0.267362397,0.585938385,0.205673759,0.122990382,0.587922432,0.841088154,0.365117301,0.579700521,0.137899787,0.219502808,0.800243175,0.353103722,0.832846004,0.15533259
95,MoNbTaV,BCC,2,0.160703251,0.428746695,0.269503546,0.107493791,0.686999906,0.654033762,0.311245054,0.437544044,0.221315299,0.15131711,0.84127335,0.314500286,0.796296296,0.094017094
96,MoNbTaVW,BCC,2,0.143773325,0.585938385,0.290780142,0.083012055,0.856584769,0.714774504,0.361771602,0.453535856,0.231449893,0.131295508,0.910246491,0.349748033,0.7582846,0.082497213
97,MoNbTaVW,BCC,2,0.143773325,0.585938385,0.290780142,0.083012055,0.856584769,0.714774504,0.361771602,0.453535856,0.231449893,0.131295508,0.910246491,0.349748033,0.7582846,0.082497213
98,MoNbTaW,BCC,2,0.104670697,0.428746695,0.304964539,0.053814703,1,0.641328812,0.325574995,0.46813892,0.197927772,0.071335033,1,0.188509876,0.71125731,0.046079524
99,MoNbTaW,BCC,2,0.104670697,0.428746695,0.304964539,0.053814703,1,0.641328812,0.325574995,0.46813892,0.197927772,0.071335033,1,0.188509876,0.71125731,0.046079524
100,MoNbTiV,BCC,2,0.190778431,0.428746695,0.234042553,0.050227746,0.407182528,0.807809666,0.380291332,0.5445048,0.236906983,0.141987106,0.697579308,0.380398379,0.812378168,0.070605723
101,MoNbTiV0.25Zr,BCC,2,0.310839181,0.528898165,0.200667501,0.150466776,0.411390933,0.959942962,0.416752479,0.650619326,0.167432271,0.268573403,0.728086659,0.330757581,0.813109162,0.206614641
102,MoNbTiV0.3Zr,BCC,2,0.313375033,0.538864198,0.201055583,0.151477604,0.40989713,0.956125866,0.415257975,0.645285381,0.169735831,0.271854591,0.726030214,0.331417301,0.812865497,0.209587514
103,MoNbTiV0.5Zr,BCC,2,0.322027465,0.565971567,0.202521671,0.15476922,0.404253873,0.941231512,0.409392534,0.62508344,0.178438166,0.283381358,0.718261425,0.333478747,0.811890838,0.219620959
104,MoNbTiV0.75Zr,BCC,2,0.330122317,0.581803445,0.204180664,0.157502801,0.397868082,0.923421735,0.402312331,0.602100942,0.188285546,0.294826798,0.709470426,0.334972008,0.811647173,0.228539576
105,MoNbTiV1.5Zr,BCC,2,0.342771804,0.575180701,0.20825274,0.159794878,0.382193868,0.874857288,0.382679889,0.544884664,0.212456387,0.315991903,0.687892521,0.334637029,0.812134503,0.241174285
106,MoNbTiV2Zr,BCC,2,0.34541282,0.551612685,0.210401891,0.158438168,0.373921366,0.846030722,0.370829628,0.514036744,0.22521322,0.323181389,0.676504182,0.331978079,0.813352827,0.241917503
107,MoNbTiV3Zr,BCC,2,0.343824104,0.49128843,0.213779129,0.152528897,0.36092172,0.795354938,0.349696252,0.464242862,0.245259671,0.328576041,0.658608221,0.323878465,0.816764133,0.235600149
108,MoNbTiVZr,BCC,2,0.33593159,0.585938385,0.205673759,0.159072589,0.39212087,0.906458239,0.395506155,0.581274255,0.197148188,0.303722223,0.701558528,0.335527952,0.811403509,0.234856931
109,MoNbTiZr,BCC,2,0.295336078,0.428746695,0.19858156,0.144008554,0.419420126,0.97961132,0.424393193,0.679216476,0.15505064,0.249188397,0.739140046,0.326408745,0.814814815,0.188405797
110,MoTaTiV,BCC,2,0.190778431,0.428746695,0.234042553,0.082812379,0.591452509,0.659682001,0.303927587,0.335124142,0.209621535,0.142479867,0.72101249,0.438514716,0.813352827,0.092902267
111,NbTaTiV,BCC,2,0.180691093,0.428746695,0.19858156,0.092538911,0.553092347,0.338209604,0.166573769,0.388053012,0.186234009,0.145052485,0.754172654,0.466405696,0.871101365,0.080639168
112,NbTaTiVW,BCC,2,0.170483646,0.585938385,0.234042553,0.070551815,0.749458722,0.87654295,0.444368698,0.55364781,0.203384861,0.131230973,0.840565933,0.493891172,0.78460039,0.078781122
113,NbTaTiZr,BCC,2,0.231529205,0.428746695,0.163120567,0.085346116,0.565329944,0.510377324,0.20393302,0.472761547,0.104377665,0.188733212,0.795733392,0.400169868,0.932992203,0.099219621
114,NbTaVW,BCC,2,0.156063918,0.428746695,0.269503546,0.08217068,0.901157865,0.818899431,0.420301826,0.517989842,0.221315299,0.147553703,0.933237537,0.378012798,0.759502924,0.095131921
115,NbTiV0.3Zr,BCC,2,0.29049523,0.370334491,0.14807651,0.141326926,0.328565234,0.249029259,0.040777027,0.271740785,0.138750242,0.25619533,0.698075036,0.375939128,0.907163743,0.166852471
116,NbTiVZr,BCC,2,0.342920792,0.428746695,0.163120567,0.166619584,0.320577991,0.265766391,0.059150623,0.340624888,0.178438166,0.314147888,0.672377584,0.366199034,0.869883041,0.232255667
117,Al0.5CoCrFeNiTi,BCC+Im,5,0.347012782,0.697468151,0.517730496,0.37503684,0.379455384,0.426740454,0.256152238,0.253259821,0.632014441,0.347914662,0.375986012,0.166797023,0.402046784,0.253437384
118,Al1.285CuMnNi,BCC+Im,5,0.264355517,0.424257875,0.579301042,0.069022213,0.347061115,0.560443069,0.272826097,0.486723568,0.726785154,0.300575663,0.239737922,0.313485742,0.533382066,0.146042363
119,Al1.5CoCrFeMo0.5Ni,BCC+Im,5,0.303678694,0.68365685,0.482269504,0.237893385,0.375960965,0.588114865,0.29390938,0.369749075,0.661780384,0.3043986,0.369809513,0.431757037,0.546296296,0.208101078
120,Al2CuMnNi,BCC+Im,5,0.271764961,0.39062559,0.489361702,0.054517479,0.293467006,0.629091801,0.304685852,0.493208491,0.692963753,0.310126994,0.23572455,0.291696887,0.48708577,0.165737644
121,Al5.333CoCrCuFeMnNiTiV,BCC+Im,5,0.308198025,0.805205672,0.333342908,0.275046921,0.24021662,0.623963787,0.373098168,0.457865116,0.5838243,0.297185965,0.300013262,0.367892629,0.407651072,0.189520624
122,AlC0.1CoCrFeNi,BCC+Im,5,0.400698237,0.631692847,0.537199277,0.263437722,0.377059211,0.49402882,0.511083458,0.435364437,0.741878841,0.317622217,0.352046069,0.290570399,0.504873294,0.229654404
123,AlC0.2CoCrFeNi,BCC+Im,5,0.489210382,0.65717309,0.528641571,0.373525223,0.368369793,0.537568053,0.62052295,0.527703423,0.764925373,0.350376222,0.362882724,0.362319668,0.446881092,0.314381271
124,AlC0.3CoCrFeNi,BCC+Im,5,0.56113917,0.674992754,0.520406798,0.459662587,0.360008277,0.57807672,0.68065345,0.589665347,0.787102225,0.379713579,0.373310448,0.415467372,0.393274854,0.392790784
125,AlC0.4CoCrFeNi,BCC+Im,5,0.622251064,0.68796584,0.512477016,0.531424772,0.351956447,0.616111361,0.715565945,0.633493825,0.808457711,0.406310303,0.38335196,0.457057298,0.344054581,0.465254552
126,AlC0.5CoCrFeNi,BCC+Im,5,0.675544084,0.697468151,0.50483559,0.59324828,0.34419741,0.652076527,0.735752287,0.665312646,0.829036635,0.430641552,0.393028327,0.490605996,0.298489279,0.532144184
127,AlC1.5CoCrFeNi,BCC+Im,5,1,0.70484495,0.441352973,0.960843177,0.279737724,0.942177111,0.714108284,0.740513626,1,0.599271694,0.473416602,0.634871755,0,0.979561501
128,AlCCoCrFeNi,BCC+Im,5,0.871138952,0.714373348,0.470449173,0.816213503,0.309281747,0.809514068,0.746740627,0.733885411,0.921641791,0.528140135,0.436571976,0.590707828,0.119395712,0.798216276
129,AlCo0.5CrFeMo0.5Ni,BCC+Im,5,0.287669179,0.683594783,0.503546099,0.256555731,0.398710345,0.555074176,0.268099341,0.337034653,0.660221215,0.28991351,0.38375152,0.44201749,0.583089669,0.199554069
130,AlCo1.5CrFeMo0.5Ni,BCC+Im,5,0.27085983,0.68365685,0.553191489,0.249820249,0.424283787,0.495948649,0.24416207,0.299177317,0.691664446,0.284677729,0.384547364,0.400003543,0.59917154,0.184689706
131,AlCoCrFe0.6Mo0.5Ni,BCC+Im,5,0.283623744,0.690093915,0.520511751,0.268615015,0.40902832,0.54855649,0.266897807,0.330530909,0.668811928,0.296279197,0.38537095,0.436159349,0.568226121,0.205128205
132,AlCoCrFe1.5Mo0.5Ni,BCC+Im,5,0.273061481,0.68365685,0.541371158,0.237893385,0.416517619,0.495687046,0.242710756,0.301291669,0.686467217,0.278193487,0.3829262,0.401084784,0.613791423,0.178372352
133,AlCoCrFe1Mo0.5Ni,BCC+Im,5,0.279057039,0.697468151,0.530625403,0.254049367,0.412659495,0.523223001,0.255373911,0.316691114,0.677372068,0.287990803,0.384185617,0.419562057,0.59039961,0.192493497
134,AlCoCrFe2Mo0.5Ni,BCC+Im,5,0.266998559,0.658078334,0.550463721,0.223606531,0.419782185,0.471796288,0.23161148,0.287632898,0.694163113,0.269018957,0.38186054,0.384688096,0.63377193,0.166109253
135,AlCoCrFeMo0.2Ni,BCC+Im,5,0.280439552,0.65717309,0.539552646,0.17879778,0.397334521,0.487412687,0.257938969,0.298154721,0.700759595,0.284498917,0.359141577,0.315898149,0.57748538,0.162393162
136,AlCoCrFeMo0.3Ni,BCC+Im,5,0.280060673,0.674992754,0.536464606,0.208230812,0.402635613,0.501971482,0.257214288,0.305553282,0.69266957,0.285965191,0.367804609,0.358238665,0.581871345,0.173169825
137,AlCoCrFeMo0.4Ni,BCC+Im,5,0.279596463,0.68796584,0.533490938,0.232939782,0.407740368,0.513726537,0.256351452,0.311658539,0.684879176,0.287115995,0.376146789,0.391972173,0.58625731,0.18320327
138,AlCoCrFeMo0.5,BCC+Im,5,0.296555587,0.565971567,0.43892829,0.243907056,0.380824626,0.592768421,0.281190094,0.361105853,0.625399787,0.28305569,0.38125591,0.469072434,0.617446394,0.196952806
139,AlCoCrFeMo0.5Ni,BCC+Im,5,0.279057039,0.697468151,0.530625403,0.254049367,0.412659495,0.523223001,0.255373911,0.316691114,0.677372068,0.287990803,0.384185617,0.419562057,0.59039961,0.192493497
140,AlCoCrFeMo0.5Ni0.5,BCC+Im,5,0.287669179,0.683594783,0.489361702,0.251606871,0.398333804,0.555012114,0.267443918,0.337052491,0.653984542,0.28719523,0.382867249,0.442404321,0.598440546,0.196209588
141,AlCoCrFeNb0.25Ni,BCC+Im,5,0.29848917,0.666811272,0.531239446,0.273980687,0.392703613,0.459561294,0.27033178,0.310453375,0.692221292,0.314603592,0.369830567,0.410088547,0.514619883,0.170568562
142,AlCoCrFeNb0.5Ni,BCC+Im,5,0.311285494,0.697468151,0.517730496,0.370374763,0.398710345,0.470340729,0.280212762,0.337592925,0.668867513,0.33738278,0.396243858,0.516518585,0.471978558,0.196952806
143,AlCoCrFeNb0.75Ni,BCC+Im,5,0.320668961,0.710825872,0.505396238,0.434392009,0.404194754,0.47936204,0.288770752,0.360867412,0.647544498,0.352896539,0.42036034,0.580416524,0.437865497,0.218506132
144,AlCoCrFeNiSi,BCC+Im,5,0.328862306,0.714373348,0.470449173,0.131404458,0.311321347,0.471187174,0.290261536,0.319082561,0.760527719,0.261227079,0.355808555,0.183781719,0.432748538,0.133779264
145,AlCoCrFeNiSi0.8,BCC+Im,5,0.322656127,0.712173283,0.483492296,0.127002607,0.324213564,0.467843842,0.285388217,0.312999459,0.753179913,0.265002165,0.353216726,0.183868622,0.450779727,0.134894091
146,AlCoCrFeNiTi1.5,BCC+Im,5,0.370586622,0.70484495,0.441352973,0.399706952,0.329919116,0.504125962,0.3016208,0.315824168,0.582622601,0.360063474,0.370569079,0.210540508,0.297270955,0.2909699
147,AlCrCuFeNiTi,BCC+Im,5,0.343690342,0.714373348,0.517730496,0.331535444,0.347092786,0.50623766,0.329141754,0.307303764,0.622801173,0.333913558,0.335765079,0.255527749,0.528021442,0.225938313
148,AlCrFeNiMo,BCC+Im,5,0.287722363,0.585938385,0.460992908,0.323292499,0.411324485,0.6096456,0.270622167,0.37206352,0.602531983,0.284221627,0.426727092,0.549486654,0.607699805,0.233742103
149,AlCrFeNiMo0.8,BCC+Im,5,0.291267489,0.583380273,0.464539007,0.302089957,0.400200822,0.606986141,0.275458768,0.369906498,0.616304638,0.286660845,0.410412291,0.525929812,0.596978558,0.224451877
150,C0.1Hf0.5Mo0.5NbTiZr,BCC+Im,5,0.479186411,0.60479627,0.161390763,0.424097744,0.442953968,0.923925163,0.830023148,0.828554728,0.139649098,0.315866405,0.735247097,0.323192678,0.673001949,0.427722036
151,C0.3Hf0.5Mo0.5NbTiZr,BCC+Im,5,0.715352823,0.652418149,0.158172522,0.729936647,0.418872827,1,1,1,0.223400233,0.436254716,0.743633377,0.320735973,0.338206628,0.855444073
152,CrCuFeNiZr,BCC+Im,5,0.531970698,0.585938385,0.631205674,0.63049762,0.459898334,0.493736771,0.282336388,0.257654965,0.630597015,0.621953269,0.410102797,0.440094695,0.562134503,0.617242661
153,CrHfNbTiZr,BCC+Im,5,0.432642232,0.585938385,0.177304965,0.363072459,0.472135931,0.324430213,0.385985795,0.390414709,0.137899787,0.37934036,0.64531889,0.45088159,0.776803119,0.487922705
154,CrMo0.5NbTa0.5TiZr,BCC+Im,5,0.400283624,0.683594783,0.219858156,0.32940883,0.472135931,0.758741262,0.389486739,0.526660354,0.214299041,0.360554067,0.681397148,0.505873194,0.757553606,0.399108138
155,Hf0.5Mo0.5NbSi0.1TiZr,BCC+Im,5,0.333656374,0.60479627,0.161390763,0.238134695,0.443252446,0.87520237,0.36779551,0.600456357,0.116071429,0.244520902,0.72342806,0.334858525,0.7582846,0.188777406
156,Hf0.5Mo0.5NbSi0.3TiZr,BCC+Im,5,0.40980485,0.652418149,0.158172522,0.36359483,0.419726613,0.859115395,0.36289519,0.589138614,0.155957133,0.261598143,0.709825434,0.352991328,0.570419103,0.20327016
157,Hf0.5Mo0.5NbSi0.5TiZr,BCC+Im,5,0.465591474,0.674478675,0.155240347,0.450771595,0.398291966,0.843804311,0.358104701,0.578349723,0.192297441,0.275402668,0.69743193,0.367690263,0.415935673,0.214418432
158,Hf0.5Mo0.5NbSi0.7TiZr,BCC+Im,5,0.508769786,0.683661764,0.152557718,0.516940265,0.378681544,0.829213046,0.353430062,0.568053534,0.225544958,0.286675413,0.686093192,0.379705743,0.288255361,0.22296544
159,Hf0.5Mo0.5NbSi0.9TiZr,BCC+Im,5,0.543216531,0.684988448,0.15009408,0.569338728,0.360671973,0.815290349,0.348874477,0.558216643,0.256078391,0.295940962,0.675680065,0.389578283,0.182504873,0.229654404
160,HfMo0.5NbSi0.3TiV0.5,BCC+Im,5,0.398439876,0.652418149,0.174666007,0.354139489,0.488248404,0.691887428,0.319099038,0.522731361,0.165022066,0.261411187,0.694402102,0.374863056,0.59039961,0.211817168
161,HfMo0.5NbSi0.5TiV0.5,BCC+Im,5,0.445390871,0.674478675,0.171000788,0.434911703,0.463768343,0.684707167,0.316799006,0.516896547,0.200959488,0.268291515,0.682694079,0.386684182,0.45248538,0.214046823
162,HfMo0.5NbSi0.7TiV0.5,BCC+Im,5,0.481976838,0.683661764,0.167647503,0.496435181,0.441371692,0.677550353,0.314399253,0.511094088,0.233838407,0.27374889,0.671982484,0.396291818,0.338693957,0.215533259
163,HfNbSi0.5TiV,BCC+Im,5,0.456849081,0.565971567,0.155240347,0.438129025,0.419838506,0.137978338,0.075365204,0.279533944,0.211353945,0.293830083,0.653021873,0.392964182,0.457358674,0.230397622
164,HfNbSi0.5TiVZr,BCC+Im,5,0.475304228,0.697468151,0.143778208,0.425028384,0.403845002,0.270253288,0.089370906,0.282358455,0.179855592,0.327343409,0.664740698,0.351637006,0.492446394,0.280193237
165,HfNbTiVZr,BCC+Im,5,0.347340169,0.585938385,0.14893617,0.180706996,0.450484797,0.286402942,0.093763891,0.296112988,0.100479744,0.306510869,0.688117608,0.324968484,0.877436647,0.264957265
